"","monkey","mean_phylum_abundance","taxa","PhylGroup","CommonName","study"
"55","Ateles belzebuth",0.35,"Euryarchaeota","New_World","White bellied spider monkey","Mann et al. 2020"
"56","Propithecus verreauxi",0,"Euryarchaeota","Lemur","White sifaka","Mann et al. 2020"
"57","Ateles hybridus",45.52,"Firmicutes","New_World","Brown spider monkey","Mann et al. 2020"
"58","Lagothrix lagotricha",65.805,"Firmicutes","New_World","Brown woolly monkey","Mann et al. 2020"
"59","Pan troglodytes",52.265,"Firmicutes","Ape","Chimpanzee","Mann et al. 2020"
"60","Theropithecus gelada",44.74,"Firmicutes","Old_World","Gelada","Mann et al. 2020"
"61","Gorilla gorilla",54.32,"Firmicutes","Ape","Gorilla","Mann et al. 2020"
"62","Alouatta pigra",62.88,"Firmicutes","New_World","Guatemalan black howler","Mann et al. 2020"
"63","Papio hamadryas",56.616,"Firmicutes","Old_World","Hamadryas baboon","Mann et al. 2020"
"64","Colobus guereza",66.33,"Firmicutes","Old_World","Mantled guereza","Mann et al. 2020"
"65","Eulemur rubriventer",22.88,"Firmicutes","Lemur","Red bellied lemur","Mann et al. 2020"
"66","Cercopithecus ascanius",62.176,"Firmicutes","Old_World","Red tailed monkey","Mann et al. 2020"
"67","Alouatta seniculus",63.3666666666667,"Firmicutes","New_World","Venezuelan red howler","Mann et al. 2020"
"68","Piliocolobus badius",67.608,"Firmicutes","Old_World","Western red colobus","Mann et al. 2020"
"69","Ateles belzebuth",41.905,"Firmicutes","New_World","White bellied spider monkey","Mann et al. 2020"
"70","Propithecus verreauxi",52.78,"Firmicutes","Lemur","White sifaka","Mann et al. 2020"
"71","Ateles hybridus",1.84,"Proteobacteria","New_World","Brown spider monkey","Mann et al. 2020"
"72","Lagothrix lagotricha",4.13,"Proteobacteria","New_World","Brown woolly monkey","Mann et al. 2020"
"73","Pan troglodytes",12.4,"Proteobacteria","Ape","Chimpanzee","Mann et al. 2020"
"74","Theropithecus gelada",2.056,"Proteobacteria","Old_World","Gelada","Mann et al. 2020"
"75","Gorilla gorilla",1.12,"Proteobacteria","Ape","Gorilla","Mann et al. 2020"
"76","Alouatta pigra",4.26,"Proteobacteria","New_World","Guatemalan black howler","Mann et al. 2020"
"77","Papio hamadryas",2.776,"Proteobacteria","Old_World","Hamadryas baboon","Mann et al. 2020"
"78","Colobus guereza",0.23,"Proteobacteria","Old_World","Mantled guereza","Mann et al. 2020"
"79","Eulemur rubriventer",13.58,"Proteobacteria","Lemur","Red bellied lemur","Mann et al. 2020"
"80","Cercopithecus ascanius",1.636,"Proteobacteria","Old_World","Red tailed monkey","Mann et al. 2020"
"81","Alouatta seniculus",6.83333333333333,"Proteobacteria","New_World","Venezuelan red howler","Mann et al. 2020"
"82","Piliocolobus badius",0.856,"Proteobacteria","Old_World","Western red colobus","Mann et al. 2020"
"83","Ateles belzebuth",3.315,"Proteobacteria","New_World","White bellied spider monkey","Mann et al. 2020"
"84","Propithecus verreauxi",8.656,"Proteobacteria","Lemur","White sifaka","Mann et al. 2020"
"85","Ateles hybridus",0.42,"Rare or unassigned","New_World","Brown spider monkey","Mann et al. 2020"
"86","Lagothrix lagotricha",0.01,"Rare or unassigned","New_World","Brown woolly monkey","Mann et al. 2020"
"87","Pan troglodytes",0.43,"Rare or unassigned","Ape","Chimpanzee","Mann et al. 2020"
"88","Theropithecus gelada",3.86,"Rare or unassigned","Old_World","Gelada","Mann et al. 2020"
"89","Gorilla gorilla",2.27,"Rare or unassigned","Ape","Gorilla","Mann et al. 2020"
"90","Alouatta pigra",0,"Rare or unassigned","New_World","Guatemalan black howler","Mann et al. 2020"
"91","Papio hamadryas",2.092,"Rare or unassigned","Old_World","Hamadryas baboon","Mann et al. 2020"
"92","Colobus guereza",0.64,"Rare or unassigned","Old_World","Mantled guereza","Mann et al. 2020"
"93","Eulemur rubriventer",0,"Rare or unassigned","Lemur","Red bellied lemur","Mann et al. 2020"
"94","Cercopithecus ascanius",0.172,"Rare or unassigned","Old_World","Red tailed monkey","Mann et al. 2020"
"95","Alouatta seniculus",0.0733333333333333,"Rare or unassigned","New_World","Venezuelan red howler","Mann et al. 2020"
"96","Piliocolobus badius",0.012,"Rare or unassigned","Old_World","Western red colobus","Mann et al. 2020"
"97","Ateles belzebuth",0.015,"Rare or unassigned","New_World","White bellied spider monkey","Mann et al. 2020"
"98","Propithecus verreauxi",1.712,"Rare or unassigned","Lemur","White sifaka","Mann et al. 2020"
"99","Ateles hybridus",0,"Spirochaetes","New_World","Brown spider monkey","Mann et al. 2020"
"100","Lagothrix lagotricha",0,"Spirochaetes","New_World","Brown woolly monkey","Mann et al. 2020"
"101","Pan troglodytes",0.335,"Spirochaetes","Ape","Chimpanzee","Mann et al. 2020"
"102","Theropithecus gelada",1.468,"Spirochaetes","Old_World","Gelada","Mann et al. 2020"
"103","Gorilla gorilla",3.78,"Spirochaetes","Ape","Gorilla","Mann et al. 2020"
"104","Alouatta pigra",0,"Spirochaetes","New_World","Guatemalan black howler","Mann et al. 2020"
"105","Papio hamadryas",2.144,"Spirochaetes","Old_World","Hamadryas baboon","Mann et al. 2020"
"106","Colobus guereza",0,"Spirochaetes","Old_World","Mantled guereza","Mann et al. 2020"
"107","Eulemur rubriventer",0,"Spirochaetes","Lemur","Red bellied lemur","Mann et al. 2020"
"108","Cercopithecus ascanius",2.108,"Spirochaetes","Old_World","Red tailed monkey","Mann et al. 2020"
"109","Alouatta seniculus",0,"Spirochaetes","New_World","Venezuelan red howler","Mann et al. 2020"
"110","Piliocolobus badius",0.928,"Spirochaetes","Old_World","Western red colobus","Mann et al. 2020"
"111","Ateles belzebuth",0,"Spirochaetes","New_World","White bellied spider monkey","Mann et al. 2020"
"112","Propithecus verreauxi",0,"Spirochaetes","Lemur","White sifaka","Mann et al. 2020"
"113","Ateles hybridus",2.9,"Tenericutes","New_World","Brown spider monkey","Mann et al. 2020"
"114","Lagothrix lagotricha",8.47,"Tenericutes","New_World","Brown woolly monkey","Mann et al. 2020"
"115","Pan troglodytes",1.94,"Tenericutes","Ape","Chimpanzee","Mann et al. 2020"
"116","Theropithecus gelada",2.124,"Tenericutes","Old_World","Gelada","Mann et al. 2020"
"117","Gorilla gorilla",0.61,"Tenericutes","Ape","Gorilla","Mann et al. 2020"
"118","Alouatta pigra",10.96,"Tenericutes","New_World","Guatemalan black howler","Mann et al. 2020"
"119","Papio hamadryas",6.42,"Tenericutes","Old_World","Hamadryas baboon","Mann et al. 2020"
"120","Colobus guereza",3.7,"Tenericutes","Old_World","Mantled guereza","Mann et al. 2020"
"121","Eulemur rubriventer",2.22,"Tenericutes","Lemur","Red bellied lemur","Mann et al. 2020"
"122","Cercopithecus ascanius",6.152,"Tenericutes","Old_World","Red tailed monkey","Mann et al. 2020"
"123","Alouatta seniculus",18.56,"Tenericutes","New_World","Venezuelan red howler","Mann et al. 2020"
"124","Piliocolobus badius",7.464,"Tenericutes","Old_World","Western red colobus","Mann et al. 2020"
"125","Ateles belzebuth",1.645,"Tenericutes","New_World","White bellied spider monkey","Mann et al. 2020"
"126","Propithecus verreauxi",1.712,"Tenericutes","Lemur","White sifaka","Mann et al. 2020"
"127","Ateles hybridus",6.3,"Kiritimatiellaeota","New_World","Brown spider monkey","Mann et al. 2020"
"128","Lagothrix lagotricha",0,"Kiritimatiellaeota","New_World","Brown woolly monkey","Mann et al. 2020"
"129","Pan troglodytes",3.015,"Kiritimatiellaeota","Ape","Chimpanzee","Mann et al. 2020"
"130","Theropithecus gelada",4.608,"Kiritimatiellaeota","Old_World","Gelada","Mann et al. 2020"
"131","Gorilla gorilla",5.31,"Kiritimatiellaeota","Ape","Gorilla","Mann et al. 2020"
"132","Alouatta pigra",0.02,"Kiritimatiellaeota","New_World","Guatemalan black howler","Mann et al. 2020"
"133","Papio hamadryas",5.928,"Kiritimatiellaeota","Old_World","Hamadryas baboon","Mann et al. 2020"
"134","Colobus guereza",0.59,"Kiritimatiellaeota","Old_World","Mantled guereza","Mann et al. 2020"
"135","Eulemur rubriventer",7.64,"Kiritimatiellaeota","Lemur","Red bellied lemur","Mann et al. 2020"
"136","Cercopithecus ascanius",1.092,"Kiritimatiellaeota","Old_World","Red tailed monkey","Mann et al. 2020"
"137","Alouatta seniculus",0,"Kiritimatiellaeota","New_World","Venezuelan red howler","Mann et al. 2020"
"138","Piliocolobus badius",2.764,"Kiritimatiellaeota","Old_World","Western red colobus","Mann et al. 2020"
"139","Ateles belzebuth",0.005,"Kiritimatiellaeota","New_World","White bellied spider monkey","Mann et al. 2020"
"140","Propithecus verreauxi",5.788,"Kiritimatiellaeota","Lemur","White sifaka","Mann et al. 2020"
"141","Homo sapiens",2.72211125509099,"Actinobacteria","Ape","Human","Berer et al. 2017"
"142","Homo sapiens",13.1201010837019,"Bacteroidetes","Ape","Human","Berer et al. 2017"
"143","Homo sapiens",0.298972566902565,"Cyanobacteria","Ape","Human","Berer et al. 2017"
"144","Homo sapiens",0.0199994325502991,"Euryarchaeota","Ape","Human","Berer et al. 2017"
"145","Homo sapiens",80.1697086131943,"Firmicutes","Ape","Human","Berer et al. 2017"
"146","Homo sapiens",0.165817621927363,"Kiritimatiellaeota","Ape","Human","Berer et al. 2017"
"147","Homo sapiens",2.49402185318133,"Proteobacteria","Ape","Human","Berer et al. 2017"
"148","Homo sapiens",0.541689679076179,"Rare or unassigned","Ape","Human","Berer et al. 2017"
"149","Homo sapiens",0.467577894375003,"Tenericutes","Ape","Human","Berer et al. 2017"
"150","This study",21.3386119152753,"Actinobacteria","Old_World","Current study","Current study"
"151","This study",22.1506694927165,"Bacteroidetes","Old_World","Current study","Current study"
"152","This study",0.961024050015452,"Cyanobacteria","Old_World","Current study","Current study"
"153","This study",2.99951173505713,"Euryarchaeota","Old_World","Current study","Current study"
"154","This study",26.5733388931123,"Firmicutes","Old_World","Current study","Current study"
"155","This study",15.1526829457704,"Kiritimatiellaeota","Old_World","Current study","Current study"
"156","This study",0.959097999075145,"Proteobacteria","Old_World","Current study","Current study"
"157","This study",7.34254657744573,"Rare or unassigned","Old_World","Current study","Current study"
"158","This study",0.619070438719528,"Spirochaetes","Old_World","Current study","Current study"
"159","This study",1.9034459528126,"Tenericutes","Old_World","Current study","Current study"
