"","trait","h2_estimate","is_heritable","dataset","simple_name"
"74","genus_Parasutterella",9.43e-06,"NS","Davenport 2014","g_Parasutterella"
"75","genus_Parvimonas",9.43e-06,"NS","Davenport 2014","g_Parvimonas"
"76","genus_Peptoniphilus",9.43e-06,"NS","Davenport 2014","g_Peptoniphilus"
"77","genus_Peptostreptococcus",9.43e-06,"NS","Davenport 2014","g_Peptostreptococcus"
"78","genus_Phascolarctobacterium",0.0612087,"NS","Davenport 2014","g_Phascolarctobacterium"
"79","genus_Prevotella",0.102977,"NS","Davenport 2014","g_Prevotella"
"80","genus_Pseudomonas",0.117684,"NS","Davenport 2014","g_Pseudomonas"
"81","genus_Roseburia",9.43e-06,"NS","Davenport 2014","g_Roseburia"
"82","genus_Rothia",0.0258924,"NS","Davenport 2014","g_Rothia"
"83","genus_Ruminococcus",0.128178,"NS","Davenport 2014","g_Ruminococcus"
"84","genus_Scardovia",9.43e-06,"NS","Davenport 2014","g_Scardovia"
"85","genus_Slackia",0.0683098,"NS","Davenport 2014","g_Slackia"
"86","genus_Solobacterium",9.43e-06,"NS","Davenport 2014","g_Solobacterium"
"87","genus_Sporacetigenium",0.107236,"NS","Davenport 2014","g_Sporacetigenium"
"88","genus_Staphylococcus",9.43e-06,"NS","Davenport 2014","g_Staphylococcus"
"89","genus_Streptococcus",0.144648,"NS","Davenport 2014","g_Streptococcus"
"90","genus_Subdoligranulum",9.43e-06,"NS","Davenport 2014","g_Subdoligranulum"
"91","genus_Turicibacter",0.131351,"NS","Davenport 2014","g_Turicibacter"
"92","genus_Veillonella",0.191737,"heritable","Davenport 2014","g_Veillonella"
"93","order_Bacteroidales",9.43e-06,"NS","Davenport 2014","o_Bacteroidales"
"94","order_Burkholderiales",0.258257,"NS","Davenport 2014","o_Burkholderiales"
"95","order_Clostridiales",9.43e-06,"NS","Davenport 2014","o_Clostridiales"
"96","order_Desulfovibrionales",0.0217917,"NS","Davenport 2014","o_Desulfovibrionales"
"97","order_Rhizobiales",9.43e-06,"NS","Davenport 2014","o_Rhizobiales"
"98","order_Selenomonadales",0.220216,"heritable","Davenport 2014","o_Selenomonadales"
"99","order_Sphingobacteriales",9.43e-06,"NS","Davenport 2014","o_Sphingobacteriales"
"100","phylum_Firmicutes",9.43e-06,"NS","Davenport 2014","p_Firmicutes"
"101","phylum_Proteobacteria",9.43e-06,"NS","Davenport 2014","p_Proteobacteria"
"102","phylum_TM7",9.43e-06,"NS","Davenport 2014","p_TM7"
"103","k__Bacteria.p__Actinobacteria.c__Actinobacteria",0.321425863,"heritable","Goodrich 2014","c_Actinobacteria"
"104","k__Bacteria.p__Actinobacteria.c__Actinobacteria",0,"NS","Yatsunenko 2012","c_Actinobacteria"
"105","k__Bacteria.p__Proteobacteria.c__Alphaproteobacteria",0.166604843,"NS","Goodrich 2014","c_Alphaproteobacteria"
"106","k__Bacteria.p__Proteobacteria.c__Alphaproteobacteria",0.119245245,"NS","Yatsunenko 2012","c_Alphaproteobacteria"
"107","k__Bacteria.p__Firmicutes.c__Bacilli",7.39e-15,"NS","Goodrich 2014","c_Bacilli"
"108","k__Bacteria.p__Firmicutes.c__Bacilli",0,"NS","Turnbaugh 2009","c_Bacilli"
"109","k__Bacteria.p__Firmicutes.c__Bacilli",0.336197509,"NS","Yatsunenko 2012","c_Bacilli"
"110","k__Bacteria.p__Bacteroidetes.c__Bacteroidia",2.73e-13,"NS","Goodrich 2014","c_Bacteroidia"
"111","k__Bacteria.p__Bacteroidetes.c__Bacteroidia",0.017369479,"NS","Turnbaugh 2009","c_Bacteroidia"
"112","k__Bacteria.p__Bacteroidetes.c__Bacteroidia",1.04e-11,"NS","Yatsunenko 2012","c_Bacteroidia"
