"","trait","h2_estimate","is_heritable","dataset","simple_name"
"221","k__Bacteria.p__Bacteroidetes.c__Bacteroidia.o__Bacteroidales.f__Porphyromonadaceae",1.26e-12,"NS","Turnbaugh 2009","f_Porphyromonadaceae"
"222","k__Bacteria.p__Bacteroidetes.c__Bacteroidia.o__Bacteroidales.f__Porphyromonadaceae",4.18e-10,"NS","Yatsunenko 2012","f_Porphyromonadaceae"
"223","k__Bacteria.p__Bacteroidetes.c__Bacteroidia.o__Bacteroidales.f__Prevotellaceae",2.25e-15,"NS","Goodrich 2014","f_Prevotellaceae"
"224","k__Bacteria.p__Bacteroidetes.c__Bacteroidia.o__Bacteroidales.f__Prevotellaceae",0.060166632,"NS","Turnbaugh 2009","f_Prevotellaceae"
"225","k__Bacteria.p__Bacteroidetes.c__Bacteroidia.o__Bacteroidales.f__Prevotellaceae",0.055129698,"NS","Yatsunenko 2012","f_Prevotellaceae"
"226","k__Bacteria.p__Bacteroidetes.c__Bacteroidia.o__Bacteroidales.f__RF16",0.033508284,"NS","Yatsunenko 2012","f_RF16"
"227","k__Bacteria.p__Proteobacteria.c__Betaproteobacteria.o__Rhodocyclales.f__Rhodocyclaceae",0.148286578,"NS","Yatsunenko 2012","f_Rhodocyclaceae"
"228","k__Bacteria.p__Bacteroidetes.c__Bacteroidia.o__Bacteroidales.f__Rikenellaceae",0,"NS","Goodrich 2014","f_Rikenellaceae"
"229","k__Bacteria.p__Bacteroidetes.c__Bacteroidia.o__Bacteroidales.f__Rikenellaceae",7.47e-14,"NS","Turnbaugh 2009","f_Rikenellaceae"
"230","k__Bacteria.p__Bacteroidetes.c__Bacteroidia.o__Bacteroidales.f__Rikenellaceae",0.099324018,"NS","Yatsunenko 2012","f_Rikenellaceae"
"231","k__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales.f__Ruminococcaceae",0.201613571,"NS","Goodrich 2014","f_Ruminococcaceae"
"232","k__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales.f__Ruminococcaceae",0.14463614,"NS","Turnbaugh 2009","f_Ruminococcaceae"
"233","k__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales.f__Ruminococcaceae",3.03e-13,"NS","Yatsunenko 2012","f_Ruminococcaceae"
"234","k__Bacteria.p__Bacteroidetes.c__Bacteroidia.o__Bacteroidales.f__S24.7",3.67e-13,"NS","Turnbaugh 2009","f_S24.7"
"235","k__Bacteria.p__Bacteroidetes.c__Bacteroidia.o__Bacteroidales.f__S24.7",0.510511331,"NS","Yatsunenko 2012","f_S24.7"
"236","k__Bacteria.p__Bacteroidetes.c__Sphingobacteriia.o__Sphingobacteriales.f__Sphingobacteriaceae",0,"NS","Yatsunenko 2012","f_Sphingobacteriaceae"
"237","k__Bacteria.p__Firmicutes.c__Bacilli.o__Bacillales.f__Staphylococcaceae",1.52e-15,"NS","Yatsunenko 2012","f_Staphylococcaceae"
"238","k__Bacteria.p__Firmicutes.c__Bacilli.o__Lactobacillales.f__Streptococcaceae",3.15e-13,"NS","Goodrich 2014","f_Streptococcaceae"
"239","k__Bacteria.p__Firmicutes.c__Bacilli.o__Lactobacillales.f__Streptococcaceae",2e-05,"NS","Turnbaugh 2009","f_Streptococcaceae"
"240","k__Bacteria.p__Firmicutes.c__Bacilli.o__Lactobacillales.f__Streptococcaceae",0.571764345,"heritable","Yatsunenko 2012","f_Streptococcaceae"
"241","k__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales.f__.Tissierellaceae.",0.117932495,"NS","Goodrich 2014","f_Tissierellaceae"
"242","k__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales.f__.Tissierellaceae.",0.068869577,"NS","Yatsunenko 2012","f_Tissierellaceae"
"243","k__Bacteria.p__Firmicutes.c__Bacilli.o__Turicibacterales.f__Turicibacteraceae",0.20776766,"NS","Goodrich 2014","f_Turicibacteraceae"
"244","k__Bacteria.p__Firmicutes.c__Bacilli.o__Turicibacterales.f__Turicibacteraceae",0.345932564,"NS","Yatsunenko 2012","f_Turicibacteraceae"
"245","k__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales.f__Veillonellaceae",8.1e-14,"NS","Goodrich 2014","f_Veillonellaceae"
"246","k__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales.f__Veillonellaceae",2.2e-15,"NS","Turnbaugh 2009","f_Veillonellaceae"
"247","k__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales.f__Veillonellaceae",7.56e-14,"NS","Yatsunenko 2012","f_Veillonellaceae"
"248","k__Bacteria.p__Verrucomicrobia.c__Verrucomicrobiae.o__Verrucomicrobiales.f__Verrucomicrobiaceae",0.125668171,"NS","Goodrich 2014","f_Verrucomicrobiaceae"
"249","k__Bacteria.p__Verrucomicrobia.c__Verrucomicrobiae.o__Verrucomicrobiales.f__Verrucomicrobiaceae",0.597280307,"NS","Yatsunenko 2012","f_Verrucomicrobiaceae"
"250","k__Bacteria.p__Lentisphaerae.c__.Lentisphaeria..o__Victivallales.f__Victivallaceae",0.083777511,"NS","Yatsunenko 2012","f_Victivallaceae"
"251","k__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales.f__Clostridiaceae.g__02d06",0,"NS","Goodrich 2014","g_02d06"
"252","k__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales.f__Clostridiaceae.g__02d06",0.251491301,"NS","Yatsunenko 2012","g_02d06"
"253","k__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales.f__.Tissierellaceae..g__1.68",8.1e-15,"NS","Yatsunenko 2012","g_1.68"
"254","k__Bacteria.p__Bacteroidetes.c__Bacteroidia.o__Bacteroidales.f__Bacteroidaceae.g__5.7N15",1.41e-13,"NS","Yatsunenko 2012","g_5.7N15"
"255","k__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales.f__Veillonellaceae.g__Acidaminococcus",0.033164189,"NS","Yatsunenko 2012","g_Acidaminococcus"
"256","k__Bacteria.p__Proteobacteria.c__Gammaproteobacteria.o__Pseudomonadales.f__Moraxellaceae.g__Acinetobacter",7.9e-13,"NS","Yatsunenko 2012","g_Acinetobacter"
"257","k__Bacteria.p__Actinobacteria.c__Actinobacteria.o__Actinomycetales.f__Actinomycetaceae.g__Actinomyces",0.11012386,"NS","Goodrich 2014","g_Actinomyces"
"258","k__Bacteria.p__Actinobacteria.c__Actinobacteria.o__Actinomycetales.f__Actinomycetaceae.g__Actinomyces",0.460249371,"NS","Yatsunenko 2012","g_Actinomyces"
"259","k__Bacteria.p__Actinobacteria.c__Coriobacteriia.o__Coriobacteriales.f__Coriobacteriaceae.g__Adlercreutzia",2.64e-41,"NS","Goodrich 2014","g_Adlercreutzia"
"260","k__Bacteria.p__Actinobacteria.c__Coriobacteriia.o__Coriobacteriales.f__Coriobacteriaceae.g__Adlercreutzia",0.151259035,"NS","Yatsunenko 2012","g_Adlercreutzia"
"261","k__Bacteria.p__Verrucomicrobia.c__Verrucomicrobiae.o__Verrucomicrobiales.f__Verrucomicrobiaceae.g__Akkermansia",0.125669223,"NS","Goodrich 2014","g_Akkermansia"
"262","k__Bacteria.p__Verrucomicrobia.c__Verrucomicrobiae.o__Verrucomicrobiales.f__Verrucomicrobiaceae.g__Akkermansia",0.59728031,"NS","Yatsunenko 2012","g_Akkermansia"
"263","k__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales.f__.Tissierellaceae..g__Anaerococcus",0.441133178,"NS","Yatsunenko 2012","g_Anaerococcus"
"264","k__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales.f__Eubacteriaceae.g__Anaerofustis",0.021839504,"NS","Goodrich 2014","g_Anaerofustis"
"265","k__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales.f__Eubacteriaceae.g__Anaerofustis",0.28091269,"NS","Yatsunenko 2012","g_Anaerofustis"
"266","k__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales.f__Lachnospiraceae.g__Anaerostipes",5.3e-15,"NS","Goodrich 2014","g_Anaerostipes"
"267","k__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales.f__Lachnospiraceae.g__Anaerostipes",2.49e-12,"NS","Turnbaugh 2009","g_Anaerostipes"
"268","k__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales.f__Lachnospiraceae.g__Anaerostipes",0.367339506,"NS","Yatsunenko 2012","g_Anaerostipes"
"269","k__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales.f__Ruminococcaceae.g__Anaerotruncus",0.145184934,"NS","Goodrich 2014","g_Anaerotruncus"
"270","k__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales.f__Ruminococcaceae.g__Anaerotruncus",0.316718892,"NS","Yatsunenko 2012","g_Anaerotruncus"
"271","k__Bacteria.p__Actinobacteria.c__Coriobacteriia.o__Coriobacteriales.f__Coriobacteriaceae.g__Atopobium",0,"NS","Yatsunenko 2012","g_Atopobium"
"272","k__Bacteria.p__Firmicutes.c__Bacilli.o__Bacillales.f__Bacillaceae.g__Bacillus",0.195099742,"NS","Yatsunenko 2012","g_Bacillus"
"273","k__Bacteria.p__Bacteroidetes.c__Bacteroidia.o__Bacteroidales.f__Bacteroidaceae.g__Bacteroides",7.25e-39,"NS","Goodrich 2014","g_Bacteroides"
"274","k__Bacteria.p__Bacteroidetes.c__Bacteroidia.o__Bacteroidales.f__Bacteroidaceae.g__Bacteroides",1.67e-15,"NS","Turnbaugh 2009","g_Bacteroides"
"275","k__Bacteria.p__Bacteroidetes.c__Bacteroidia.o__Bacteroidales.f__Bacteroidaceae.g__Bacteroides",0,"NS","Yatsunenko 2012","g_Bacteroides"
"276","k__Bacteria.p__Actinobacteria.c__Actinobacteria.o__Bifidobacteriales.f__Bifidobacteriaceae.g__Bifidobacterium",0.311871721,"heritable","Goodrich 2014","g_Bifidobacterium"
"277","k__Bacteria.p__Actinobacteria.c__Actinobacteria.o__Bifidobacteriales.f__Bifidobacteriaceae.g__Bifidobacterium",0,"NS","Yatsunenko 2012","g_Bifidobacterium"
"278","k__Bacteria.p__Proteobacteria.c__Deltaproteobacteria.o__Desulfovibrionales.f__Desulfovibrionaceae.g__Bilophila",0.075502488,"NS","Goodrich 2014","g_Bilophila"
"279","k__Bacteria.p__Proteobacteria.c__Deltaproteobacteria.o__Desulfovibrionales.f__Desulfovibrionaceae.g__Bilophila",1.11e-19,"NS","Yatsunenko 2012","g_Bilophila"
"280","k__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales.f__Lachnospiraceae.g__Blautia",0.23904717,"NS","Goodrich 2014","g_Blautia"
"281","k__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales.f__Lachnospiraceae.g__Blautia",0.23752347,"NS","Turnbaugh 2009","g_Blautia"
"282","k__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales.f__Lachnospiraceae.g__Blautia",5.32e-14,"NS","Yatsunenko 2012","g_Blautia"
"283","k__Bacteria.p__Firmicutes.c__Erysipelotrichi.o__Erysipelotrichales.f__Erysipelotrichaceae.g__Bulleidia",0.3286968,"NS","Yatsunenko 2012","g_Bulleidia"
"284","k__Bacteria.p__Bacteroidetes.c__Bacteroidia.o__Bacteroidales.f__.Odoribacteraceae..g__Butyricimonas",0.213965879,"NS","Yatsunenko 2012","g_Butyricimonas"
"285","k__Bacteria.p__Bacteroidetes.c__Bacteroidia.o__Bacteroidales.f__.Odoribacteraceae.g__Butyricimonas",0.052973407,"heritable","Goodrich 2014","g_Butyricimonas"
"286","k__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales.f__Lachnospiraceae.g__Butyrivibrio",5.41e-13,"NS","Yatsunenko 2012","g_Butyrivibrio"
"287","k__Bacteria.p__Proteobacteria.c__Epsilonproteobacteria.o__Campylobacterales.f__Campylobacteraceae.g__Campylobacter",1.5e-12,"NS","Yatsunenko 2012","g_Campylobacter"
"288","k__Bacteria.p__Firmicutes.c__Erysipelotrichi.o__Erysipelotrichales.f__Erysipelotrichaceae.g__Catenibacterium",0.035090663,"heritable","Yatsunenko 2012","g_Catenibacterium"
"289","k__Bacteria.p__Firmicutes.c__Erysipelotrichi.o__Erysipelotrichales.f__Erysipelotrichaceae.g__cc_115",0.33441577,"heritable","Goodrich 2014","g_cc_115"
"290","k__Bacteria.p__Firmicutes.c__Erysipelotrichi.o__Erysipelotrichales.f__Erysipelotrichaceae.g__cc_115",0.473704649,"NS","Yatsunenko 2012","g_cc_115"
"291","k__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales.f__Christensenellaceae.g__Christensenella",0.27214555,"heritable","Goodrich 2014","g_Christensenella"
"292","k__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales.f__Christensenellaceae.g__Christensenella",3.37e-14,"NS","Yatsunenko 2012","g_Christensenella"
"293","k__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales.f__Clostridiaceae.g__Clostridium",0.156118648,"NS","Goodrich 2014","g_Clostridium"
"294","k__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales.f__Clostridiaceae.g__Clostridium",7.68e-14,"NS","Turnbaugh 2009","g_Clostridium"
"295","k__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales.f__Clostridiaceae.g__Clostridium",0.406913992,"NS","Yatsunenko 2012","g_Clostridium"
"296","k__Bacteria.p__Actinobacteria.c__Coriobacteriia.o__Coriobacteriales.f__Coriobacteriaceae.g__Collinsella",0.039201337,"NS","Goodrich 2014","g_Collinsella"
"297","k__Bacteria.p__Actinobacteria.c__Coriobacteriia.o__Coriobacteriales.f__Coriobacteriaceae.g__Collinsella",9.76e-17,"NS","Turnbaugh 2009","g_Collinsella"
"298","k__Bacteria.p__Actinobacteria.c__Coriobacteriia.o__Coriobacteriales.f__Coriobacteriaceae.g__Collinsella",0.011667635,"NS","Yatsunenko 2012","g_Collinsella"
"299","k__Bacteria.p__Firmicutes.c__Erysipelotrichi.o__Erysipelotrichales.f__Erysipelotrichaceae.g__Coprobacillus",0.086761691,"NS","Goodrich 2014","g_Coprobacillus"
"300","k__Bacteria.p__Firmicutes.c__Erysipelotrichi.o__Erysipelotrichales.f__Erysipelotrichaceae.g__Coprobacillus",3.17e-13,"NS","Yatsunenko 2012","g_Coprobacillus"
"301","k__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales.f__Lachnospiraceae.g__Coprococcus",1.37e-12,"NS","Goodrich 2014","g_Coprococcus"
"302","k__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales.f__Lachnospiraceae.g__Coprococcus",1.58e-13,"NS","Turnbaugh 2009","g_Coprococcus"
"303","k__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales.f__Lachnospiraceae.g__Coprococcus",0,"NS","Yatsunenko 2012","g_Coprococcus"
"304","k__Bacteria.p__Actinobacteria.c__Actinobacteria.o__Actinomycetales.f__Corynebacteriaceae.g__Corynebacterium",3.12e-12,"NS","Yatsunenko 2012","g_Corynebacterium"
"305","k__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales.f__Dehalobacteriaceae.g__Dehalobacterium",0.278663074,"heritable","Goodrich 2014","g_Dehalobacterium"
"306","k__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales.f__Dehalobacteriaceae.g__Dehalobacterium",0.686670357,"NS","Yatsunenko 2012","g_Dehalobacterium"
"307","k__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales.f__Peptococcaceae.g__Desulfosporosinus",0.223108069,"NS","Yatsunenko 2012","g_Desulfosporosinus"
"308","k__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales.f__Peptococcaceae.g__Desulfotomaculum",2.35e-16,"NS","Yatsunenko 2012","g_Desulfotomaculum"
"309","k__Bacteria.p__Proteobacteria.c__Deltaproteobacteria.o__Desulfovibrionales.f__Desulfovibrionaceae.g__Desulfovibrio",0.022899327,"NS","Goodrich 2014","g_Desulfovibrio"
"310","k__Bacteria.p__Proteobacteria.c__Deltaproteobacteria.o__Desulfovibrionales.f__Desulfovibrionaceae.g__Desulfovibrio",9.35e-14,"NS","Yatsunenko 2012","g_Desulfovibrio"
"311","k__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales.f__Veillonellaceae.g__Dialister",5.91e-12,"NS","Goodrich 2014","g_Dialister"
"312","k__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales.f__Veillonellaceae.g__Dialister",4.11e-14,"NS","Turnbaugh 2009","g_Dialister"
"313","k__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales.f__Veillonellaceae.g__Dialister",0.522249505,"NS","Yatsunenko 2012","g_Dialister"
"314","k__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales.f__Lachnospiraceae.g__Dorea",0.006354707,"NS","Goodrich 2014","g_Dorea"
"315","k__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales.f__Lachnospiraceae.g__Dorea",7.33e-17,"NS","Turnbaugh 2009","g_Dorea"
"316","k__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales.f__Lachnospiraceae.g__Dorea",0.424475397,"heritable","Yatsunenko 2012","g_Dorea"
"317","k__Bacteria.p__Bacteroidetes.c__Bacteroidia.o__Bacteroidales.f__Porphyromonadaceae.g__Dysgonomonas",0.170497824,"NS","Yatsunenko 2012","g_Dysgonomonas"
"318","k__Bacteria.p__Actinobacteria.c__Coriobacteriia.o__Coriobacteriales.f__Coriobacteriaceae.g__Eggerthella",1.75e-25,"NS","Goodrich 2014","g_Eggerthella"
"319","k__Bacteria.p__Actinobacteria.c__Coriobacteriia.o__Coriobacteriales.f__Coriobacteriaceae.g__Eggerthella",2.32e-13,"NS","Yatsunenko 2012","g_Eggerthella"
"320","k__Bacteria.p__Firmicutes.c__Bacilli.o__Lactobacillales.f__Enterococcaceae.g__Enterococcus",1.87e-13,"NS","Yatsunenko 2012","g_Enterococcus"
"321","k__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales.f__Lachnospiraceae.g__Epulopiscium",1.91e-14,"NS","Yatsunenko 2012","g_Epulopiscium"
"322","k__Bacteria.p__Proteobacteria.c__Gammaproteobacteria.o__Enterobacteriales.f__Enterobacteriaceae.g__Erwinia",0.27436053,"NS","Yatsunenko 2012","g_Erwinia"
"323","k__Bacteria.p__Firmicutes.c__Erysipelotrichi.o__Erysipelotrichales.f__Erysipelotrichaceae.g__.Eubacterium.",3.57e-26,"NS","Goodrich 2014","g_Eubacterium"
"324","k__Bacteria.p__Firmicutes.c__Erysipelotrichi.o__Erysipelotrichales.f__Erysipelotrichaceae.g__.Eubacterium.",2.83e-14,"NS","Turnbaugh 2009","g_Eubacterium"
"325","k__Bacteria.p__Firmicutes.c__Erysipelotrichi.o__Erysipelotrichales.f__Erysipelotrichaceae.g__.Eubacterium.",2.92e-12,"NS","Yatsunenko 2012","g_Eubacterium"
"326","k__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales.f__Ruminococcaceae.g__Faecalibacterium",0.178647781,"NS","Goodrich 2014","g_Faecalibacterium"
"327","k__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales.f__Ruminococcaceae.g__Faecalibacterium",0.189391503,"NS","Turnbaugh 2009","g_Faecalibacterium"
"328","k__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales.f__Ruminococcaceae.g__Faecalibacterium",3.46e-14,"NS","Yatsunenko 2012","g_Faecalibacterium"
"329","k__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales.f__.Tissierellaceae..g__Finegoldia",0.312210659,"NS","Yatsunenko 2012","g_Finegoldia"
"330","k__Bacteria.p__Fusobacteria.c__Fusobacteriia.o__Fusobacteriales.f__Fusobacteriaceae.g__Fusobacterium",0.213493971,"heritable","Yatsunenko 2012","g_Fusobacterium"
"331","k__Bacteria.p__Firmicutes.c__Bacilli.o__Gemellales.f__Gemellaceae.g__Gemella",0.228418374,"NS","Yatsunenko 2012","g_Gemella"
"332","k__Bacteria.p__Firmicutes.c__Bacilli.o__Lactobacillales.f__Carnobacteriaceae.g__Granulicatella",0.034676653,"NS","Goodrich 2014","g_Granulicatella"
"333","k__Bacteria.p__Firmicutes.c__Bacilli.o__Lactobacillales.f__Carnobacteriaceae.g__Granulicatella",0.434482131,"heritable","Yatsunenko 2012","g_Granulicatella"
"334","k__Bacteria.p__Proteobacteria.c__Gammaproteobacteria.o__Pasteurellales.f__Pasteurellaceae.g__Haemophilus",0,"NS","Goodrich 2014","g_Haemophilus"
"335","k__Bacteria.p__Proteobacteria.c__Gammaproteobacteria.o__Pasteurellales.f__Pasteurellaceae.g__Haemophilus",0.294959073,"NS","Yatsunenko 2012","g_Haemophilus"
"336","k__Bacteria.p__Firmicutes.c__Erysipelotrichi.o__Erysipelotrichales.f__Erysipelotrichaceae.g__Holdemania",2.43e-12,"NS","Goodrich 2014","g_Holdemania"
"337","k__Bacteria.p__Firmicutes.c__Erysipelotrichi.o__Erysipelotrichales.f__Erysipelotrichaceae.g__Holdemania",3.7e-13,"NS","Yatsunenko 2012","g_Holdemania"
"338","k__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales.f__Lachnospiraceae.g__Lachnobacterium",1.18e-41,"NS","Goodrich 2014","g_Lachnobacterium"
"339","k__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales.f__Lachnospiraceae.g__Lachnobacterium",0.219147206,"NS","Yatsunenko 2012","g_Lachnobacterium"
"340","k__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales.f__Lachnospiraceae.g__Lachnospira",0.03923929,"NS","Goodrich 2014","g_Lachnospira"
"341","k__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales.f__Lachnospiraceae.g__Lachnospira",0.303237615,"NS","Turnbaugh 2009","g_Lachnospira"
"342","k__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales.f__Lachnospiraceae.g__Lachnospira",0,"NS","Yatsunenko 2012","g_Lachnospira"
"343","k__Bacteria.p__Firmicutes.c__Bacilli.o__Lactobacillales.f__Lactobacillaceae.g__Lactobacillus",0.01061555,"NS","Goodrich 2014","g_Lactobacillus"
"344","k__Bacteria.p__Firmicutes.c__Bacilli.o__Lactobacillales.f__Lactobacillaceae.g__Lactobacillus",0.355832712,"NS","Yatsunenko 2012","g_Lactobacillus"
"345","k__Bacteria.p__Firmicutes.c__Bacilli.o__Lactobacillales.f__Streptococcaceae.g__Lactococcus",0.20951393,"NS","Yatsunenko 2012","g_Lactococcus"
"346","k__Bacteria.p__Firmicutes.c__Bacilli.o__Lactobacillales.f__Leuconostocaceae.g__Leuconostoc",5.34e-13,"NS","Yatsunenko 2012","g_Leuconostoc"
"347","k__Bacteria.p__Proteobacteria.c__Betaproteobacteria.o__Burkholderiales.f__Comamonadaceae.g__Limnobacter",6.12e-13,"NS","Yatsunenko 2012","g_Limnobacter"
"348","k__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales.f__Veillonellaceae.g__Megamonas",1.96e-14,"NS","Yatsunenko 2012","g_Megamonas"
"349","k__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales.f__Veillonellaceae.g__Megasphaera",0.523246287,"NS","Yatsunenko 2012","g_Megasphaera"
"350","k__Archaea.p__Euryarchaeota.c__Methanobacteria.o__Methanobacteriales.f__Methanobacteriaceae.g__Methanobrevibacter",0.201168189,"NS","Goodrich 2014","g_Methanobrevibacter"
"351","k__Archaea.p__Euryarchaeota.c__Methanobacteria.o__Methanobacteriales.f__Methanobacteriaceae.g__Methanobrevibacter",0.258504881,"NS","Yatsunenko 2012","g_Methanobrevibacter"
"352","k__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales.f__.Mogibacteriaceae..g__Mogibacterium",0.331176442,"NS","Yatsunenko 2012","g_Mogibacterium"
"353","k__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales.f__Lachnospiraceae.g__Moryella",0.261614887,"NS","Yatsunenko 2012","g_Moryella"
"354","k__Bacteria.p__Bacteroidetes.c__Bacteroidia.o__Bacteroidales.f__.Odoribacteraceae..g__Odoribacter",1.27e-14,"NS","Yatsunenko 2012","g_Odoribacter"
"355","k__Bacteria.p__Bacteroidetes.c__Bacteroidia.o__Bacteroidales.f__.Odoribacteraceae.g__Odoribacter",0,"NS","Goodrich 2014","g_Odoribacter"
"356","k__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales.f__Lachnospiraceae.g__Oribacterium",1.19e-14,"NS","Yatsunenko 2012","g_Oribacterium"
"357","k__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales.f__Ruminococcaceae.g__Oscillospira",0.137075062,"NS","Goodrich 2014","g_Oscillospira"
"358","k__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales.f__Ruminococcaceae.g__Oscillospira",8.04e-14,"NS","Turnbaugh 2009","g_Oscillospira"
"359","k__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales.f__Ruminococcaceae.g__Oscillospira",7.78e-14,"NS","Yatsunenko 2012","g_Oscillospira"
"360","k__Bacteria.p__Bacteroidetes.c__Bacteroidia.o__Bacteroidales.f__Porphyromonadaceae.g__Paludibacter",0,"NS","Yatsunenko 2012","g_Paludibacter"
"361","k__Bacteria.p__Bacteroidetes.c__Bacteroidia.o__Bacteroidales.f__Porphyromonadaceae.g__Parabacteroides",0.077916944,"NS","Goodrich 2014","g_Parabacteroides"
"362","k__Bacteria.p__Bacteroidetes.c__Bacteroidia.o__Bacteroidales.f__Porphyromonadaceae.g__Parabacteroides",1.19e-14,"NS","Turnbaugh 2009","g_Parabacteroides"
"363","k__Bacteria.p__Bacteroidetes.c__Bacteroidia.o__Bacteroidales.f__Porphyromonadaceae.g__Parabacteroides",1.2e-13,"NS","Yatsunenko 2012","g_Parabacteroides"
"364","k__Bacteria.p__Bacteroidetes.c__Bacteroidia.o__Bacteroidales.f__.Paraprevotellaceae..g__Paraprevotella",2.32e-13,"NS","Yatsunenko 2012","g_Paraprevotella"
"365","k__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales.f__.Tissierellaceae..g__Parvimonas",0.303768906,"NS","Yatsunenko 2012","g_Parvimonas"
"366","k__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales.f__Peptococcaceae.g__Peptococcus",7.61e-14,"NS","Yatsunenko 2012","g_Peptococcus"
"367","k__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales.f__.Tissierellaceae..g__Peptoniphilus",0.10778267,"NS","Yatsunenko 2012","g_Peptoniphilus"
"368","k__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales.f__Peptostreptococcaceae.g__Peptostreptococcus",0.089054586,"NS","Yatsunenko 2012","g_Peptostreptococcus"
"369","k__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales.f__.Tissierellaceae..g__ph2",0.147464181,"NS","Yatsunenko 2012","g_ph2"
"370","k__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales.f__Veillonellaceae.g__Phascolarctobacterium",0.124017639,"NS","Goodrich 2014","g_Phascolarctobacterium"
"371","k__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales.f__Veillonellaceae.g__Phascolarctobacterium",2.81e-14,"NS","Turnbaugh 2009","g_Phascolarctobacterium"
"372","k__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales.f__Veillonellaceae.g__Phascolarctobacterium",3.77e-26,"NS","Yatsunenko 2012","g_Phascolarctobacterium"
"373","k__Bacteria.p__Bacteroidetes.c__Bacteroidia.o__Bacteroidales.f__Porphyromonadaceae.g__Porphyromonas",0.251635896,"NS","Yatsunenko 2012","g_Porphyromonas"
