"","phenotype","Vplate","Vplate_constraint","Vmom","Vmom_constraint","VA","VA_constraint","VI","VI_constraint","heritability","heritability_se","model_type_significance"
"135","f_Cyanobiaceae",1.23560461704489,"Positive",9.11652911122791e-08,"Boundary",0.00247134830365635,"Positive",0.0109211302975694,"Positive",0.000544470111335858,0.00431302285426731,"NS"
"136","g_Cyanobium_PCC-6307",1.23877112134363,"Positive",9.10906002187738e-08,"Boundary",0.00232541056045109,"Positive",0.0104909520969852,"Positive",0.000512025920892685,0.00430602851622885,"NS"
"137","f_Bacillaceae",1.01748007908127,"Positive",0.00828323033961831,"Positive",3.04329983739695e-07,"Boundary",0.0700143297991978,"Positive",6.93901943182638e-08,2.06301727512522e-09,"NS"
"138","g_Lachnospiraceae_FCS020_group",0.367621286968325,"Positive",9.17414767713338e-08,"Boundary",5.69954304666352e-08,"Boundary",0.0409915218992951,"Positive",1.54099472207412e-08,2.10648020132673e-10,"NS"
"139","f_Beijerinckiaceae",0.688382651031567,"Positive",9.14398780740798e-08,"Boundary",5.77746495117047e-08,"Boundary",0.0164671884554726,"Positive",1.44622826076338e-08,3.23166040398485e-10,"NS"
"140","g_Ruminococcaceae_UCG-003",0.646998079827944,"Positive",8.70701128377086e-08,"Boundary",5.73852597447359e-08,"Boundary",0.0732831744847161,"Positive",1.43095344287722e-08,2.7548448310685e-10,"NS"
"141","o_Micrococcales",0.853865191490185,"Positive",0.0154666752437193,"Positive",5.69985020848047e-08,"Boundary",0.00471347668228357,"Positive",1.36882518329719e-08,3.28894393576622e-10,"NS"
"142","f_Microbacteriaceae",0.972278509539068,"Positive",0.00551782639981804,"Positive",5.76015478662687e-08,"Boundary",0.0172041837223474,"Positive",1.34425997914483e-08,3.82218859290239e-10,"NS"
"143","f_Bacteroidaceae",0.361902781558696,"Positive",2.64857234171184e-07,"Boundary",0.191502175059649,"Positive",0.244537425385592,"Positive",0.046845611986922,0.0226135439900087,"sig"
"144","g_Bacteroides",0.361902781558696,"Positive",2.64857234171184e-07,"Boundary",0.191502175059649,"Positive",0.244537425385592,"Positive",0.046845611986922,0.0226135439900087,"sig"
"145","g_Lachnospiraceae_UCG-008",0.961064493223661,"Positive",0.00377063364506817,"Positive",0.107187095095194,"Positive",0.0800547257126444,"Positive",0.0241299501016655,0.0130132001995451,"sig"
"146","asv_8127",0.209881790184126,"Positive",5.43053399160026e-08,"Boundary",1.21827581595292,"Positive",0.413419877883179,"Positive",0.237407660091684,0.0351497661727097,"sig"
"147","asv_7815",0.177491076622529,"Positive",0.0452700969788525,"Positive",1.07360602590379,"Positive",0.375531734552085,"Positive",0.216369990637016,0.0388890922757724,"sig"
"148","asv_7516",0.502292639944802,"Positive",0.011179744464308,"Positive",1.10866128968586,"Positive",0.260516271767586,"Positive",0.214331397115446,0.0336985102119399,"sig"
"149","asv_7814",0.224288056335212,"Positive",0.0397244138007954,"Positive",1.10089815116572,"Positive",0.595221907208373,"Positive",0.2096895926317,0.0369702828574791,"sig"
"150","asv_6446",0.229121744560733,"Positive",6.5432367468762e-08,"Boundary",0.907604728257953,"Positive",0.0975041414482772,"Positive",0.200609737326274,0.0284394800723885,"sig"
"151","asv_7722",0.203939787207446,"Positive",5.0107859474401e-07,"Boundary",0.936978642418811,"Positive",0.31054826122949,"Positive",0.197613650899598,0.0324363681786392,"sig"
"152","asv_3846",0.200661595544784,"Positive",5.0431289963396e-08,"Boundary",0.870384042340099,"Positive",0.131221390997651,"Positive",0.193751624062621,0.0314054945760157,"sig"
"153","asv_5401",0.418371148680857,"Positive",0.103175094661455,"Positive",0.995908654283584,"Positive",0.335142338940653,"Positive",0.19365869199364,0.0384201744549548,"sig"
"154","asv_411",0.238741891269674,"Positive",0.00328437585954907,"Positive",0.937543464041844,"Positive",0.394527357103744,"Positive",0.192747687191904,0.0322882334036482,"sig"
"155","asv_4497",0.157683730996761,"Positive",6.68027847477598e-07,"Boundary",1.1294035202606,"Positive",1.34142209824178,"Positive",0.190825649853764,0.041393064867115,"sig"
"156","asv_5197",0.287827778609864,"Positive",4.67200953164808e-08,"Boundary",0.827210634898499,"Positive",0.237800913583295,"Positive",0.178169126324817,0.0272695843353038,"sig"
"157","asv_10248",0.251979138211765,"Positive",0.0993752684117432,"Positive",0.820228470708094,"Positive",0.332639247280762,"Positive",0.171086872779057,0.0324549055457273,"sig"
"158","asv_3861",0.196492421541404,"Positive",0.00314239154777708,"Positive",0.773995430690006,"Positive",0.382687640312336,"Positive",0.166582539119865,0.0300692508647766,"sig"
"159","asv_5219",0.323838766280035,"Positive",6.13153765540889e-07,"Boundary",0.764065317196883,"Positive",0.216385401643463,"Positive",0.166307590694786,0.0258012966590288,"sig"
"160","asv_5629",0.236564195813947,"Positive",4.26563673181303e-08,"Boundary",0.76973629762296,"Positive",0.34064612641349,"Positive",0.166000679681494,0.0322644515251604,"sig"
