"","age_window","diet_shannon_h","season","baboon_id"
"1","1_4",1.91215051286297,"dry","b_1058"
"2","2_5",1.27536937209537,"dry","b_1058"
"3","3_6",1.11891933276208,"dry","b_1058"
"4","4_7",1.36552720607207,"dry","b_1058"
"5","5_8",1.43573197072166,"dry","b_1058"
"6","6_9",1.54864700254394,"dry","b_1058"
"7","7_10",1.29401865267305,"dry","b_1058"
"8","8_11",1.3412170211862,"dry","b_1058"
"9","8_11",1.56564459054035,"wet","b_1058"
"10","9_12",1.4676099048178,"wet","b_1058"
"11","5_8",1.9200075281309,"wet","b_1058"
"12","2_5",1.86718241513503,"wet","b_1058"
"13","3_6",1.82008323809014,"wet","b_1058"
"14","4_7",1.89573199488788,"wet","b_1058"
"15","6_9",1.82363780694025,"wet","b_1058"
"16","7_10",1.71685558334004,"wet","b_1058"
"17","2_5",1.17584418754039,"dry","b_119"
"18","0_3",1.4700101225083,"dry","b_119"
"19","1_4",1.35688591318174,"dry","b_119"
"20","1_4",1.77067794479451,"wet","b_119"
"21","2_5",1.53283461353579,"wet","b_119"
"22","0_3",1.87715185079482,"wet","b_119"
"23","12_15",1.44252974574578,"dry","b_200"
"24","13_27",0.933224354726862,"dry","b_200"
"25","10_13",1.52239079510336,"dry","b_200"
"26","11_14",1.43385207617693,"dry","b_200"
"27","10_13",1.70957190838388,"wet","b_200"
"28","11_14",1.81343058995811,"wet","b_200"
"29","2_5",0.846269245662743,"dry","b_200"
"30","3_6",1.1181121562416,"dry","b_200"
"31","4_7",1.06992981258932,"dry","b_200"
"32","5_8",1.2206648693282,"dry","b_200"
"33","6_9",1.02310511223925,"dry","b_200"
"34","7_10",1.08943069518129,"dry","b_200"
"35","8_11",1.15195594709616,"dry","b_200"
"36","9_12",1.15965852689113,"dry","b_200"
"37","8_11",1.69743692452812,"wet","b_200"
"38","9_12",1.79967630196416,"wet","b_200"
"39","13_28",1.81031757164399,"wet","b_200"
"40","2_5",1.79208513552758,"wet","b_200"
"41","3_6",2.26985871829672,"wet","b_200"
"42","12_15",1.70096037947937,"wet","b_200"
"43","5_8",2.17467667515667,"wet","b_200"
"44","6_9",1.86342639048931,"wet","b_200"
"45","7_10",1.92963954055938,"wet","b_200"
"46","4_7",2.18242562044882,"wet","b_200"
"47","3_6",1.22323397983419,"dry","b_238"
"48","1_4",1.71681060454441,"wet","b_238"
"49","2_5",1.46395267855404,"wet","b_238"
"50","1_4",1.20626656557241,"dry","b_238"
"51","2_5",1.20194850111551,"dry","b_238"
"52","0_3",1.87864340360404,"wet","b_238"
"53","0_3",1.10568098186414,"dry","b_121"
"54","1_4",1.10177857695655,"dry","b_121"
"55","0_3",1.82331426230046,"wet","b_121"
"56","1_4",1.81676398832101,"wet","b_121"
"57","0_3",1.77037558299991,"wet","b_127"
"58","1_4",1.90200181719166,"wet","b_127"
"59","2_5",1.89783729911466,"wet","b_127"
"60","3_6",1.75687889829457,"wet","b_127"
"61","4_7",1.47855176653061,"wet","b_127"
"62","5_8",1.27690948816623,"wet","b_127"
"63","2_5",1.24787946042844,"dry","b_127"
"64","3_6",1.00690850936908,"dry","b_127"
"65","0_3",1.3651646510144,"dry","b_127"
"66","1_4",1.21791823882985,"dry","b_127"
"67","4_7",1.20590522315817,"dry","b_127"
"68","5_8",1.16665271942674,"dry","b_127"
"69","0_3",1.89512642859114,"wet","b_214"
"70","1_4",1.96948493504016,"wet","b_214"
"71","0_3",1.68727980693069,"dry","b_214"
"72","1_4",1.71739372664733,"dry","b_214"
"73","2_5",2.05125024478458,"wet","b_214"
"74","2_5",1.81932850817344,"dry","b_214"
"75","0_3",1.44850229952546,"dry","b_745"
"76","1_4",1.79067145430074,"wet","b_1054"
"77","2_5",1.82947177202188,"wet","b_1054"
"78","0_3",1.57966542899151,"wet","b_1054"
"79","0_3",1.61491525006437,"dry","b_1054"
"80","1_4",1.48819921813511,"dry","b_1054"
"81","2_5",1.58469581829303,"dry","b_1054"
"82","3_6",1.16298116668353,"dry","b_1054"
"83","4_7",0.831136102993968,"dry","b_1054"
"84","5_8",0.835300685906232,"dry","b_1054"
"85","6_9",0.663871032562255,"dry","b_1054"
"86","5_8",1.70244568850025,"wet","b_1054"
"87","3_6",1.85146909409083,"wet","b_1054"
"88","4_7",1.78351686979426,"wet","b_1054"
"89","7_10",1.81466760735373,"dry","b_140"
"90","6_9",1.81348540820504,"dry","b_140"
"91","8_11",1.81475968018831,"dry","b_140"
"92","2_5",1.51147757937447,"dry","b_1056"
"93","0_3",1.41211405547608,"dry","b_1056"
"94","1_4",1.35116423476728,"dry","b_1056"
"95","0_3",1.6389990480969,"wet","b_1056"
