"","trait","h2_estimate","is_heritable","dataset"
"1394","194297",0.130671759,"heritable","Goodrich_2014_TwinsUK"
"1395","194297",0.620493478,"heritable","Goodrich_2014_Yatsunenko"
"1396","194320",0,"NS","Goodrich_2014_TwinsUK"
"1397","194322",0.165441103,"NS","Goodrich_2014_Yatsunenko"
"1398","194339",2.51e-12,"NS","Goodrich_2014_Yatsunenko"
"1399","194353",0.067935275,"NS","Goodrich_2014_Yatsunenko"
"1400","1943669",0.186501575,"NS","Goodrich_2014_Yatsunenko"
"1401","194371",0.129874118,"NS","Goodrich_2014_TwinsUK"
"1402","194371",4.52e-13,"NS","Goodrich_2014_Yatsunenko"
"1403","194372",0.073228428,"NS","Goodrich_2014_TwinsUK"
"1404","194372",1.14e-15,"NS","Goodrich_2014_Yatsunenko"
"1405","194373",9.94e-27,"NS","Goodrich_2014_Yatsunenko"
"1406","194374",0.248367265,"NS","Goodrich_2014_Yatsunenko"
"1407","194380",3.13e-15,"NS","Goodrich_2014_Yatsunenko"
"1408","194415",5.02e-14,"NS","Goodrich_2014_Yatsunenko"
"1409","194420",3.25e-19,"NS","Goodrich_2014_Yatsunenko"
"1410","194424",0.0899115,"NS","Goodrich_2014_Yatsunenko"
"1411","194425",2.56e-12,"NS","Goodrich_2014_Yatsunenko"
"1412","194443",0,"NS","Goodrich_2014_Yatsunenko"
"1413","194449",1.78e-16,"NS","Goodrich_2014_Yatsunenko"
"1414","1944498",0.124646155,"NS","Goodrich_2014_Yatsunenko"
"1415","194471",6.61e-16,"NS","Goodrich_2014_Yatsunenko"
"1416","194488",3.1e-14,"NS","Goodrich_2014_TwinsUK"
"1417","194512",0.185002965,"NS","Goodrich_2014_Yatsunenko"
"1418","194513",0.029939425,"NS","Goodrich_2014_Yatsunenko"
"1419","194526",0.763693867,"heritable","Goodrich_2014_Yatsunenko"
"1420","194534",3.04e-14,"NS","Goodrich_2014_Yatsunenko"
"1421","1945397",0.466248015,"heritable","Goodrich_2014_Yatsunenko"
"1422","194557",2.55e-14,"NS","Goodrich_2014_Yatsunenko"
"1423","194591",7.67e-19,"NS","Goodrich_2014_Yatsunenko"
"1424","194597",0.229093575,"heritable","Goodrich_2014_TwinsUK"
"1425","194597",0.39357955,"NS","Goodrich_2014_Yatsunenko"
"1426","194599",5.7e-17,"NS","Goodrich_2014_Yatsunenko"
"1427","194610",2.27e-14,"NS","Goodrich_2014_Yatsunenko"
"1428","194615",1.86e-13,"NS","Goodrich_2014_Yatsunenko"
"1429","194626",0,"NS","Goodrich_2014_Yatsunenko"
"1430","194648",0.099422097,"NS","Goodrich_2014_Yatsunenko"
"1431","194654",5.88e-21,"NS","Goodrich_2014_Yatsunenko"
"1432","194659",2.06e-13,"NS","Goodrich_2014_TwinsUK"
"1433","194660",7.05e-13,"NS","Goodrich_2014_TwinsUK"
"1434","194660",0,"NS","Goodrich_2014_Turnbaugh"
"1435","194670",1.28e-10,"NS","Goodrich_2014_TwinsUK"
"1436","194670",0.13290364,"NS","Goodrich_2014_Yatsunenko"
"1437","194672",0.024014569,"NS","Goodrich_2014_TwinsUK"
"1438","194672",0.171983353,"NS","Goodrich_2014_Yatsunenko"
"1439","194686",0,"NS","Goodrich_2014_Yatsunenko"
"1440","194733",0.150502442,"NS","Goodrich_2014_TwinsUK"
"1441","194733",0.295516849,"NS","Goodrich_2014_Yatsunenko"
"1442","194792",0.162195802,"NS","Goodrich_2014_Yatsunenko"
"1443","194816",0.122938731,"NS","Goodrich_2014_Yatsunenko"
"1444","194832",1.52e-13,"NS","Goodrich_2014_Yatsunenko"
"1445","194858",0.20147598,"NS","Goodrich_2014_Yatsunenko"
"1446","194863",0.017025681,"NS","Goodrich_2014_Yatsunenko"
"1447","194870",2.07e-13,"NS","Goodrich_2014_Yatsunenko"
"1448","194875",5.56e-14,"NS","Goodrich_2014_Yatsunenko"
"1449","194889",5.7e-13,"NS","Goodrich_2014_Yatsunenko"
"1450","194896",4.19e-13,"NS","Goodrich_2014_Yatsunenko"
"1451","194899",0.129645235,"NS","Goodrich_2014_Yatsunenko"
"1452","194909",0.059517953,"NS","Goodrich_2014_Yatsunenko"
"1453","194990",0.284612876,"heritable","Goodrich_2014_Yatsunenko"
"1454","194993",2.79e-14,"NS","Goodrich_2014_Yatsunenko"
"1455","195004",4.32e-14,"NS","Goodrich_2014_Yatsunenko"
"1456","195015",6.83e-26,"NS","Goodrich_2014_Yatsunenko"
"1457","195028",5.81e-17,"NS","Goodrich_2014_Yatsunenko"
"1458","195029",0.152643533,"NS","Goodrich_2014_Yatsunenko"
"1459","195081",0.10614193,"heritable","Goodrich_2014_TwinsUK"
"1460","195081",9.48e-15,"NS","Goodrich_2014_Yatsunenko"
"1461","195105",0.156209327,"NS","Goodrich_2014_Yatsunenko"
"1462","195157",0.00642395,"NS","Goodrich_2014_Yatsunenko"
"1463","195166",1.13e-14,"NS","Goodrich_2014_Yatsunenko"
"1464","195175",2.39e-13,"NS","Goodrich_2014_Yatsunenko"
"1465","195185",0.274404958,"NS","Goodrich_2014_Yatsunenko"
"1466","195186",2.25e-11,"NS","Goodrich_2014_Yatsunenko"
"1467","1952",0.034770397,"NS","Goodrich_2014_TwinsUK"
"1468","195214",1.56e-15,"NS","Goodrich_2014_Yatsunenko"
"1469","195215",2.09e-13,"NS","Goodrich_2014_Yatsunenko"
"1470","195221",1.65e-16,"NS","Goodrich_2014_Yatsunenko"
"1471","195236",0,"NS","Goodrich_2014_Yatsunenko"
"1472","195258",4.01e-13,"NS","Goodrich_2014_Yatsunenko"
"1473","195282",5.53e-13,"NS","Goodrich_2014_Yatsunenko"
"1474","195294",0.078818152,"NS","Goodrich_2014_TwinsUK"
"1475","195305",1.19e-12,"NS","Goodrich_2014_Yatsunenko"
"1476","195358",1.52e-12,"NS","Goodrich_2014_Yatsunenko"
"1477","195363",1.03e-13,"NS","Goodrich_2014_Yatsunenko"
"1478","195374",3.42e-14,"NS","Goodrich_2014_Yatsunenko"
"1479","195404",4.8e-13,"NS","Goodrich_2014_Turnbaugh"
"1480","195404",0.105625814,"NS","Goodrich_2014_Yatsunenko"
"1481","195415",1.31e-12,"NS","Goodrich_2014_Yatsunenko"
"1482","195418",8.11e-13,"NS","Goodrich_2014_Yatsunenko"
"1483","195436",0.173081408,"heritable","Goodrich_2014_TwinsUK"
"1484","195436",0.078927633,"NS","Goodrich_2014_Yatsunenko"
"1485","195444",0.206397134,"NS","Goodrich_2014_Yatsunenko"
"1486","195449",2.36e-14,"NS","Goodrich_2014_Yatsunenko"
"1487","195465",0.025255147,"NS","Goodrich_2014_TwinsUK"
"1488","195465",3.68e-12,"NS","Goodrich_2014_Yatsunenko"
"1489","195494",1.16e-12,"NS","Goodrich_2014_TwinsUK"
"1490","195494",0.300265925,"NS","Goodrich_2014_Yatsunenko"
"1491","195496",1.89e-13,"NS","Goodrich_2014_Yatsunenko"
"1492","195508",0.052448169,"heritable","Goodrich_2014_TwinsUK"
"1493","195508",0.057243599,"NS","Goodrich_2014_Yatsunenko"
"1494","195509",0,"NS","Goodrich_2014_Yatsunenko"
"1495","195532",0.030135455,"NS","Goodrich_2014_Yatsunenko"
"1496","195548",0.014398685,"NS","Goodrich_2014_TwinsUK"
"1497","195548",1.83e-15,"NS","Goodrich_2014_Yatsunenko"
"1498","195619",0.369075972,"NS","Goodrich_2014_Yatsunenko"
"1499","195635",0.117424132,"NS","Goodrich_2014_Yatsunenko"
"1500","195651",0.198176733,"heritable","Goodrich_2014_TwinsUK"
"1501","195651",6.46e-13,"NS","Goodrich_2014_Yatsunenko"
"1502","195674",1.12e-13,"NS","Goodrich_2014_Yatsunenko"
"1503","195681",0.118264354,"heritable","Goodrich_2014_TwinsUK"
"1504","195704",0.212269394,"NS","Goodrich_2014_Yatsunenko"
"1505","195714",3.05e-13,"NS","Goodrich_2014_Yatsunenko"
"1506","195743",0.222995578,"NS","Goodrich_2014_Yatsunenko"
"1507","195756",9.09e-14,"NS","Goodrich_2014_Yatsunenko"
"1508","195759",1.3e-16,"NS","Goodrich_2014_Yatsunenko"
"1509","195805",0.24902009,"NS","Goodrich_2014_Yatsunenko"
"1510","195828",7.68e-15,"NS","Goodrich_2014_Yatsunenko"
"1511","195843",0.166839685,"NS","Goodrich_2014_Yatsunenko"
"1512","195887",0.094714395,"NS","Goodrich_2014_Turnbaugh"
"1513","195892",2.51e-13,"NS","Goodrich_2014_Yatsunenko"
"1514","195929",0,"NS","Goodrich_2014_Yatsunenko"
"1515","195933",0.307423372,"NS","Goodrich_2014_Yatsunenko"
"1516","195937",0.225047794,"NS","Goodrich_2014_TwinsUK"
"1517","195941",0,"NS","Goodrich_2014_Yatsunenko"
"1518","195946",0.347098654,"NS","Goodrich_2014_Yatsunenko"
"1519","195950",0.044051478,"NS","Goodrich_2014_Yatsunenko"
"1520","196054",0.205055856,"NS","Goodrich_2014_TwinsUK"
"1521","196100",1.42e-06,"NS","Goodrich_2014_TwinsUK"
"1522","196100",0.253617247,"NS","Goodrich_2014_Yatsunenko"
"1523","196106",1.09e-14,"NS","Goodrich_2014_Yatsunenko"
"1524","19611",0.100004181,"NS","Goodrich_2014_TwinsUK"
"1525","196125",0.020562369,"NS","Goodrich_2014_Turnbaugh"
"1526","196134",0.182032746,"NS","Goodrich_2014_Yatsunenko"
"1527","196135",0.012674565,"NS","Goodrich_2014_Yatsunenko"
"1528","196136",1.01e-15,"NS","Goodrich_2014_Yatsunenko"
"1529","196139",0.077434999,"NS","Goodrich_2014_Yatsunenko"
"1530","196176",0.199922375,"NS","Goodrich_2014_Yatsunenko"
"1531","196212",2.57e-13,"NS","Goodrich_2014_Yatsunenko"
"1532","196219",1.28e-14,"NS","Goodrich_2014_TwinsUK"
"1533","196219",0.037864839,"NS","Goodrich_2014_Yatsunenko"
"1534","196246",0.064142099,"NS","Goodrich_2014_TwinsUK"
"1535","196249",0.34878186,"NS","Goodrich_2014_Yatsunenko"
"1536","196270",0,"NS","Goodrich_2014_Yatsunenko"
"1537","196286",0.106037967,"NS","Goodrich_2014_Yatsunenko"
"1538","196307",0.249033062,"NS","Goodrich_2014_Yatsunenko"
"1539","196314",0.147938888,"NS","Goodrich_2014_Yatsunenko"
"1540","196315",0.021730908,"NS","Goodrich_2014_TwinsUK"
"1541","196315",0.057542104,"NS","Goodrich_2014_Turnbaugh"
"1542","196346",0.432195631,"NS","Goodrich_2014_Yatsunenko"
"1543","196370",0.452326929,"NS","Goodrich_2014_Yatsunenko"
"1544","196371",1.19e-10,"NS","Goodrich_2014_TwinsUK"
"1545","196381",2.2e-14,"NS","Goodrich_2014_Yatsunenko"
"1546","196391",0,"NS","Goodrich_2014_Yatsunenko"
"1547","196435",3.23e-13,"NS","Goodrich_2014_Yatsunenko"
"1548","196458",5.59e-15,"NS","Goodrich_2014_Yatsunenko"
"1549","196513",0.207070376,"NS","Goodrich_2014_TwinsUK"
"1550","196518",1.39e-12,"NS","Goodrich_2014_TwinsUK"
"1551","196518",2.23e-22,"NS","Goodrich_2014_Turnbaugh"
"1552","196526",0,"NS","Goodrich_2014_Yatsunenko"
"1553","196572",7.65e-14,"NS","Goodrich_2014_Yatsunenko"
"1554","196577",1.1e-14,"NS","Goodrich_2014_Yatsunenko"
"1555","196590",0.401538934,"NS","Goodrich_2014_Yatsunenko"
"1556","196660",0.063878931,"NS","Goodrich_2014_Yatsunenko"
"1557","196664",1.74e-14,"NS","Goodrich_2014_TwinsUK"
"1558","196711",0.107830313,"NS","Goodrich_2014_Yatsunenko"
"1559","196713",0.1971625,"NS","Goodrich_2014_Yatsunenko"
"1560","196724",8.26e-12,"NS","Goodrich_2014_TwinsUK"
"1561","196748",0,"NS","Goodrich_2014_Yatsunenko"
"1562","196791",1.81e-13,"NS","Goodrich_2014_Yatsunenko"
"1563","196848",0.252047949,"NS","Goodrich_2014_Yatsunenko"
"1564","196854",0.283394094,"NS","Goodrich_2014_Yatsunenko"
"1565","196862",3.39e-13,"NS","Goodrich_2014_Yatsunenko"
"1566","196898",6.04e-14,"NS","Goodrich_2014_Yatsunenko"
"1567","196909",3.42e-14,"NS","Goodrich_2014_Yatsunenko"
"1568","196918",0.338472743,"NS","Goodrich_2014_Yatsunenko"
"1569","196957",0.154125699,"NS","Goodrich_2014_TwinsUK"
"1570","196982",4.39e-15,"NS","Goodrich_2014_TwinsUK"
"1571","196982",0.435496213,"heritable","Goodrich_2014_Yatsunenko"
"1572","196986",1.39e-14,"NS","Goodrich_2014_Yatsunenko"
"1573","196990",0.216970127,"NS","Goodrich_2014_Yatsunenko"
"1574","196991",0.428341964,"NS","Goodrich_2014_Yatsunenko"
"1575","197003",0.160226521,"NS","Goodrich_2014_Yatsunenko"
"1576","197004",0.098637043,"NS","Goodrich_2014_TwinsUK"
"1577","197022",0.068745872,"NS","Goodrich_2014_TwinsUK"
"1578","197022",0,"NS","Goodrich_2014_Yatsunenko"
"1579","197050",0.490739419,"NS","Goodrich_2014_Yatsunenko"
"1580","197052",9.07e-14,"NS","Goodrich_2014_Yatsunenko"
"1581","197072",1.96e-12,"NS","Goodrich_2014_TwinsUK"
"1582","197080",0.369730094,"heritable","Goodrich_2014_Yatsunenko"
"1583","197091",0.337536775,"NS","Goodrich_2014_Yatsunenko"
"1584","197107",2.04e-13,"NS","Goodrich_2014_Yatsunenko"
"1585","197120",6.34e-14,"NS","Goodrich_2014_Yatsunenko"
"1586","197135",8.63e-14,"NS","Goodrich_2014_Yatsunenko"
"1587","197164",0.095088119,"NS","Goodrich_2014_Yatsunenko"
"1588","197179",0.454179933,"NS","Goodrich_2014_Yatsunenko"
"1589","197204",0.42683588,"heritable","Goodrich_2014_Yatsunenko"
"1590","197208",0.23312654,"heritable","Goodrich_2014_Turnbaugh"
"1591","197233",1.02e-13,"NS","Goodrich_2014_Yatsunenko"
"1592","197248",0.281663669,"NS","Goodrich_2014_Yatsunenko"
"1593","197274",0.153496059,"NS","Goodrich_2014_TwinsUK"
"1594","197307",2.23e-14,"NS","Goodrich_2014_Yatsunenko"
"1595","197324",1.54e-15,"NS","Goodrich_2014_Yatsunenko"
"1596","197329",0.279794812,"NS","Goodrich_2014_Yatsunenko"
"1597","197341",0,"NS","Goodrich_2014_Turnbaugh"
"1598","197343",0.108637655,"NS","Goodrich_2014_TwinsUK"
"1599","197343",0.264995801,"NS","Goodrich_2014_Yatsunenko"
"1600","197354",4.77e-11,"NS","Goodrich_2014_Yatsunenko"
"1601","197361",6.84e-16,"NS","Goodrich_2014_Yatsunenko"
"1602","197364",0.083907097,"NS","Goodrich_2014_TwinsUK"
"1603","197367",0.002272927,"NS","Goodrich_2014_Yatsunenko"
"1604","197393",0.24899503,"NS","Goodrich_2014_Yatsunenko"
"1605","197397",0.08622026,"NS","Goodrich_2014_TwinsUK"
"1606","197402",0.216736985,"heritable","Goodrich_2014_Yatsunenko"
"1607","197426",0.160771963,"NS","Goodrich_2014_Turnbaugh"
"1608","197426",1.12e-14,"NS","Goodrich_2014_Yatsunenko"
"1609","197435",0.312818523,"NS","Goodrich_2014_Yatsunenko"
"1610","197460",0.128631164,"NS","Goodrich_2014_TwinsUK"
"1611","197460",0.112429727,"NS","Goodrich_2014_Yatsunenko"
"1612","197481",0.051695868,"NS","Goodrich_2014_TwinsUK"
"1613","197481",0,"NS","Goodrich_2014_Turnbaugh"
"1614","197481",1.57e-14,"NS","Goodrich_2014_Yatsunenko"
"1615","197490",3.52e-13,"NS","Goodrich_2014_Yatsunenko"
"1616","197499",0.114348496,"heritable","Goodrich_2014_TwinsUK"
"1617","197499",1.76e-15,"NS","Goodrich_2014_Yatsunenko"
"1618","197500",8.77e-26,"NS","Goodrich_2014_Yatsunenko"
"1619","197503",0.11563566,"NS","Goodrich_2014_Yatsunenko"
"1620","197504",0.180724523,"NS","Goodrich_2014_Yatsunenko"
"1621","197505",5.86e-17,"NS","Goodrich_2014_Yatsunenko"
"1622","197510",0.289385224,"NS","Goodrich_2014_Turnbaugh"
"1623","197521",0.092492158,"NS","Goodrich_2014_Yatsunenko"
"1624","197524",0,"NS","Goodrich_2014_Yatsunenko"
"1625","197535",7.57e-13,"NS","Goodrich_2014_Yatsunenko"
"1626","197537",5.96e-12,"NS","Goodrich_2014_Yatsunenko"
"1627","197603",0.047184791,"NS","Goodrich_2014_Yatsunenko"
"1628","197624",0.226688881,"NS","Goodrich_2014_TwinsUK"
"1629","197624",0.321155694,"NS","Goodrich_2014_Yatsunenko"
"1630","197661",2.24e-14,"NS","Goodrich_2014_Yatsunenko"
"1631","197698",0.112678713,"NS","Goodrich_2014_TwinsUK"
"1632","197698",0.189772687,"NS","Goodrich_2014_Yatsunenko"
"1633","197708",5.11e-14,"NS","Goodrich_2014_Yatsunenko"
"1634","197750",0.415184196,"heritable","Goodrich_2014_Yatsunenko"
"1635","197761",1.95e-15,"NS","Goodrich_2014_Yatsunenko"
"1636","197765",7.67e-16,"NS","Goodrich_2014_Yatsunenko"
"1637","197864",0.138477682,"NS","Goodrich_2014_TwinsUK"
"1638","197864",0.334625357,"NS","Goodrich_2014_Yatsunenko"
"1639","197890",0.179039885,"NS","Goodrich_2014_TwinsUK"
"1640","1978955",6.49e-13,"NS","Goodrich_2014_Turnbaugh"
"1641","197897",0.157942238,"NS","Goodrich_2014_Yatsunenko"
"1642","197924",4e-13,"NS","Goodrich_2014_Yatsunenko"
"1643","197929",3.56e-15,"NS","Goodrich_2014_Yatsunenko"
"1644","197930",0.014349413,"NS","Goodrich_2014_TwinsUK"
"1645","197970",0.173589574,"NS","Goodrich_2014_TwinsUK"
"1646","197988",1.85e-40,"NS","Goodrich_2014_TwinsUK"
"1647","197991",1.5e-15,"NS","Goodrich_2014_Yatsunenko"
"1648","198034",0.08305436,"NS","Goodrich_2014_Yatsunenko"
"1649","198067",2.16e-14,"NS","Goodrich_2014_Yatsunenko"
"1650","198071",0.108854531,"NS","Goodrich_2014_TwinsUK"
"1651","198127",0.184766914,"NS","Goodrich_2014_TwinsUK"
"1652","198156",2.23e-14,"NS","Goodrich_2014_Yatsunenko"
"1653","198183",0.135150795,"NS","Goodrich_2014_TwinsUK"
"1654","198185",0.081849294,"NS","Goodrich_2014_Yatsunenko"
"1655","198192",6.18e-16,"NS","Goodrich_2014_Yatsunenko"
"1656","198194",0.285682487,"NS","Goodrich_2014_Yatsunenko"
"1657","198198",0.078782658,"NS","Goodrich_2014_TwinsUK"
"1658","198210",0.002747971,"NS","Goodrich_2014_Yatsunenko"
"1659","198221",7.59e-15,"NS","Goodrich_2014_TwinsUK"
"1660","198221",0.400234486,"heritable","Goodrich_2014_Yatsunenko"
"1661","198243",3.03e-11,"NS","Goodrich_2014_Yatsunenko"
"1662","198251",0.17459034,"NS","Goodrich_2014_Yatsunenko"
"1663","198270",0.25339133,"NS","Goodrich_2014_Yatsunenko"
"1664","198273",1.99e-13,"NS","Goodrich_2014_Yatsunenko"
"1665","198362",0.377682943,"NS","Goodrich_2014_Yatsunenko"
"1666","198420",1.61e-15,"NS","Goodrich_2014_Yatsunenko"
"1667","198422",0.080310107,"NS","Goodrich_2014_TwinsUK"
"1668","198449",9.95e-29,"NS","Goodrich_2014_TwinsUK"
"1669","198449",5.95e-12,"NS","Goodrich_2014_Yatsunenko"
"1670","198468",0.578871588,"NS","Goodrich_2014_Yatsunenko"
"1671","198490",1.52e-11,"NS","Goodrich_2014_Turnbaugh"
"1672","198511",0.275118138,"NS","Goodrich_2014_Yatsunenko"
"1673","198521",0.102923264,"NS","Goodrich_2014_Yatsunenko"
"1674","198555",0.102122937,"NS","Goodrich_2014_Yatsunenko"
"1675","198587",0.135009299,"heritable","Goodrich_2014_TwinsUK"
"1676","198587",0.346733259,"NS","Goodrich_2014_Yatsunenko"
"1677","198618",0.212895032,"NS","Goodrich_2014_Yatsunenko"
"1678","198625",5.54e-13,"NS","Goodrich_2014_Yatsunenko"
"1679","198626",0.187215137,"NS","Goodrich_2014_TwinsUK"
"1680","198636",0,"NS","Goodrich_2014_Yatsunenko"
"1681","198689",4.84e-17,"NS","Goodrich_2014_Yatsunenko"
"1682","198740",5.55e-13,"NS","Goodrich_2014_Yatsunenko"
"1683","198754",4.98e-12,"NS","Goodrich_2014_Yatsunenko"
"1684","198757",0.481777382,"NS","Goodrich_2014_Yatsunenko"
"1685","198788",1.79e-12,"NS","Goodrich_2014_Yatsunenko"
"1686","198824",0.065868287,"NS","Goodrich_2014_Yatsunenko"
"1687","198830",3.5e-14,"NS","Goodrich_2014_Yatsunenko"
"1688","198909",8.1e-12,"NS","Goodrich_2014_TwinsUK"
"1689","198911",0,"NS","Goodrich_2014_Yatsunenko"
"1690","198915",3.25e-12,"NS","Goodrich_2014_Yatsunenko"
"1691","198916",2.19e-14,"NS","Goodrich_2014_Yatsunenko"
"1692","198947",0.06642371,"NS","Goodrich_2014_TwinsUK"
"1693","198947",0.118532669,"NS","Goodrich_2014_Turnbaugh"
"1694","198956",0.181251661,"NS","Goodrich_2014_Turnbaugh"
"1695","198962",1.36e-11,"NS","Goodrich_2014_TwinsUK"
"1696","198962",0.112084481,"NS","Goodrich_2014_Yatsunenko"
"1697","198980",0.051005255,"NS","Goodrich_2014_Yatsunenko"
"1698","199034",3.68e-25,"NS","Goodrich_2014_Yatsunenko"
"1699","199036",0.243836343,"NS","Goodrich_2014_Yatsunenko"
"1700","199054",0.006463273,"NS","Goodrich_2014_TwinsUK"
"1701","199061",2.45e-16,"NS","Goodrich_2014_Yatsunenko"
"1702","199145",0.121365547,"NS","Goodrich_2014_TwinsUK"
"1703","199149",0.544318435,"NS","Goodrich_2014_Yatsunenko"
"1704","199156",0.023689667,"NS","Goodrich_2014_Yatsunenko"
"1705","199190",2.91e-13,"NS","Goodrich_2014_Yatsunenko"
"1706","1992",0.088498087,"heritable","Goodrich_2014_TwinsUK"
"1707","199215",6.23e-12,"NS","Goodrich_2014_Yatsunenko"
"1708","199218",0.135677946,"NS","Goodrich_2014_Yatsunenko"
"1709","199228",6.47e-15,"NS","Goodrich_2014_Yatsunenko"
"1710","199243",6.28e-14,"NS","Goodrich_2014_Yatsunenko"
"1711","199279",8.16e-11,"NS","Goodrich_2014_TwinsUK"
"1712","199286",0.256030504,"heritable","Goodrich_2014_TwinsUK"
"1713","199293",0.141367387,"NS","Goodrich_2014_TwinsUK"
"1714","199318",4.72e-17,"NS","Goodrich_2014_Turnbaugh"
"1715","199318",4.52e-17,"NS","Goodrich_2014_Yatsunenko"
"1716","199321",0.235768838,"NS","Goodrich_2014_Yatsunenko"
"1717","199344",0.191884404,"NS","Goodrich_2014_TwinsUK"
"1718","199388",5.21e-13,"NS","Goodrich_2014_Yatsunenko"
"1719","199430",0.121434456,"NS","Goodrich_2014_TwinsUK"
"1720","199487",2.84e-12,"NS","Goodrich_2014_Yatsunenko"
"1721","199490",2.69e-15,"NS","Goodrich_2014_Yatsunenko"
"1722","199501",2.26e-13,"NS","Goodrich_2014_Yatsunenko"
"1723","199534",0.084905963,"NS","Goodrich_2014_TwinsUK"
"1724","199534",0.595231993,"heritable","Goodrich_2014_Yatsunenko"
"1725","199549",0.232670958,"NS","Goodrich_2014_Yatsunenko"
"1726","199555",0.128472288,"NS","Goodrich_2014_Yatsunenko"
"1727","199575",1.75e-16,"NS","Goodrich_2014_Yatsunenko"
"1728","199640",9.33e-13,"NS","Goodrich_2014_Yatsunenko"
"1729","199677",0.018964288,"NS","Goodrich_2014_TwinsUK"
"1730","199677",1.03e-12,"NS","Goodrich_2014_Turnbaugh"
"1731","199681",2e-16,"NS","Goodrich_2014_Yatsunenko"
"1732","199692",0,"NS","Goodrich_2014_Yatsunenko"
"1733","199694",0.081663027,"NS","Goodrich_2014_TwinsUK"
"1734","199694",5.51e-13,"NS","Goodrich_2014_Yatsunenko"
"1735","199702",4.76e-13,"NS","Goodrich_2014_TwinsUK"
"1736","199710",0.148193795,"NS","Goodrich_2014_TwinsUK"
"1737","199710",5.56e-13,"NS","Goodrich_2014_Yatsunenko"
"1738","199716",2e-11,"NS","Goodrich_2014_Yatsunenko"
"1739","199745",0,"NS","Goodrich_2014_Yatsunenko"
"1740","199761",0.116942275,"NS","Goodrich_2014_TwinsUK"
"1741","201772",0.051200139,"NS","Goodrich_2014_TwinsUK"
"1742","201772",3.86e-13,"NS","Goodrich_2014_Yatsunenko"
"1743","2017729",0.125344348,"heritable","Goodrich_2014_TwinsUK"
"1744","2024840",0.509033434,"heritable","Goodrich_2014_Yatsunenko"
"1745","2035344",2.07e-13,"NS","Goodrich_2014_Yatsunenko"
"1746","204099",0.359060366,"NS","Goodrich_2014_Yatsunenko"
"1747","204126",3.82e-10,"NS","Goodrich_2014_TwinsUK"
"1748","204126",2.62e-16,"NS","Goodrich_2014_Yatsunenko"
"1749","20421",0.144164019,"NS","Goodrich_2014_Yatsunenko"
"1750","2051184",0.585030391,"heritable","Goodrich_2014_Yatsunenko"
"1751","2056188",0.370019592,"NS","Goodrich_2014_Yatsunenko"
"1752","2056702",0.126464929,"heritable","Goodrich_2014_TwinsUK"
"1753","2056702",0.18126848,"NS","Goodrich_2014_Turnbaugh"
"1754","2056702",3.69e-16,"NS","Goodrich_2014_Yatsunenko"
"1755","2058521",1.32e-11,"NS","Goodrich_2014_Yatsunenko"
"1756","205904",1.83e-11,"NS","Goodrich_2014_Yatsunenko"
"1757","2061739",0,"NS","Goodrich_2014_Yatsunenko"
"1758","206213",4.15e-16,"NS","Goodrich_2014_Yatsunenko"
"1759","2063400",4.52e-15,"NS","Goodrich_2014_Yatsunenko"
"1760","206574",0.095209402,"NS","Goodrich_2014_TwinsUK"
"1761","2065795",0.290428675,"heritable","Goodrich_2014_Yatsunenko"
"1762","2066056",0.053367285,"heritable","Goodrich_2014_TwinsUK"
"1763","2066056",0.517590155,"NS","Goodrich_2014_Yatsunenko"
"1764","206887",0.403996497,"NS","Goodrich_2014_Yatsunenko"
"1765","207126",0.421775459,"heritable","Goodrich_2014_Yatsunenko"
"1766","207252",0.243962673,"NS","Goodrich_2014_Yatsunenko"
"1767","207390",0.370353452,"NS","Goodrich_2014_Yatsunenko"
"1768","207487",0.111611171,"NS","Goodrich_2014_TwinsUK"
"1769","207994",0.190572853,"NS","Goodrich_2014_Yatsunenko"
"1770","208127",3.36e-13,"NS","Goodrich_2014_Yatsunenko"
"1771","208479",2.22e-17,"NS","Goodrich_2014_Yatsunenko"
"1772","208539",1.67e-12,"NS","Goodrich_2014_TwinsUK"
"1773","208539",0.167841625,"NS","Goodrich_2014_Yatsunenko"
"1774","208739",0.12328619,"NS","Goodrich_2014_TwinsUK"
"1775","208901",0.445265887,"heritable","Goodrich_2014_Yatsunenko"
"1776","209327",0.278006418,"NS","Goodrich_2014_Yatsunenko"
"1777","2093795",0.000372966,"NS","Goodrich_2014_Yatsunenko"
"1778","209845",0.507875875,"NS","Goodrich_2014_Yatsunenko"
"1779","210095",0.042627149,"NS","Goodrich_2014_Yatsunenko"
"1780","2101287",0.176408625,"NS","Goodrich_2014_Yatsunenko"
"1781","210542",1.63e-13,"NS","Goodrich_2014_Yatsunenko"
"1782","2108562",0.384974535,"NS","Goodrich_2014_Turnbaugh"
"1783","210965",3.16e-13,"NS","Goodrich_2014_Yatsunenko"
"1784","211706",0,"NS","Goodrich_2014_TwinsUK"
"1785","211706",4.12e-13,"NS","Goodrich_2014_Yatsunenko"
"1786","211907",0.127698736,"NS","Goodrich_2014_TwinsUK"
"1787","211907",0.198961703,"NS","Goodrich_2014_Yatsunenko"
"1788","211935",0.154298501,"NS","Goodrich_2014_TwinsUK"
"1789","21195",1.42e-14,"NS","Goodrich_2014_Yatsunenko"
"1790","2119695",0.045179484,"NS","Goodrich_2014_TwinsUK"
"1791","2119695",0.11814651,"NS","Goodrich_2014_Yatsunenko"
