"","baboon_id","age_in_years","social_groups","hydrological_years","grooming_partner_diversity","grooming_partner_richness"
"90","b_181",6,"1.11","2015",1.42412991734677,5
"91","b_1084",10,"1.1","2004-2005",2.56288982120495,25
"92","b_1084",11,"1.1","2005-2006",2.24425999087519,30
"93","b_1084",12,"1.1","2006-2007",2.10438146456745,16
"94","b_1084",13,"1.1","2007-2008",2.77544943263449,30
"95","b_1084",14,"1.1","2008-2009",2.41616544193261,23
"96","b_1084",15,"1.1","2009-2010",2.35845108993225,25
"97","b_1084",16,"1.1-1.11","2010-2011",2.70184042610373,29
"98","b_1084",17,"1.11","2011-2012",2.60867463156156,27
"99","b_1084",18,"1.11","2012-2013",2.28550500966207,27
"100","b_1084",19,"1.11","2013-2014",2.27320640733803,26
"101","b_1084",20,"1.11","2014-2015",2.18661303585346,27
"102","b_1084",21,"1.11","2015-2016",2.29189495381354,29
"103","b_1084",22,"1.11","2016",2.50945128835861,23
"104","b_1084",5,"1.1","1999-2000",2.27936192586416,25
"105","b_1084",6,"1.1","2000-2001",2.74572103383256,31
"106","b_1084",7,"1.1","2001-2002",2.58722109660741,25
"107","b_1084",8,"1.1","2002-2003",2.52710820844399,27
"108","b_1084",9,"1.1","2003-2004",2.65139500893043,25
"109","b_1019",10,"1.11","2012-2013",1.92572143379979,24
"110","b_1019",11,"1.11","2013-2014",2.15635110291176,21
"111","b_1019",12,"1.11","2014-2015",2.65718757699621,38
"112","b_1019",13,"1.11","2015-2016",3.05551286275497,32
"113","b_1019",14,"1.11","2016-2017",3.01546799613423,31
"114","b_1019",15,"1.11","2017-2018",2.23856660868261,22
"115","b_1019",16,"1.11","2018-2019",2.36617043328556,24
"116","b_1019",17,"1.11","2019-2020",2.41334063977977,12
"117","b_1019",5,"1.1","2007-2008",2.5490404273371,19
"118","b_1019",6,"1.1","2009",3.18075905455602,30
"119","b_1019",7,"1.11-1.1","2010",3.35295120037712,37
"120","b_1019",8,"1.11-1.1","2010-2011",1.96764678178321,19
"121","b_1019",9,"1.11","2011-2012",2.52290199954439,23
"122","b_1020",10,"1.11","2014-2015",2.6761552366401,31
"123","b_1020",11,"1.11","2015-2016",2.59810307350128,31
"124","b_1020",12,"1.11","2016-2017",2.5345300439219,25
"125","b_1020",13,"1.11","2017-2018",2.65086832395377,27
"126","b_1020",14,"1.11","2018-2019",2.75474684411894,27
"127","b_1020",15,"1.11","2019-2020",2.4869142102885,15
"128","b_1020",5,"1.1-1.11","2009-2010",3.1360452463701,33
"129","b_1020",6,"1.11-1.1","2010-2011",2.91662446935663,31
"130","b_1020",7,"1.11","2011-2012",3.16403262325955,37
"131","b_1020",8,"1.11","2012-2013",3.02903062897725,35
"132","b_1020",9,"1.11","2013-2014",2.55312635261833,34
"133","b_715",5,"1.12","2012",0,1
"134","b_1018",5,"1.1-1.11","2009-2010",3.35799720879775,42
"135","b_1018",6,"1.11-1.1","2010-2011",3.46070000694345,41
"136","b_1018",7,"1.11","2011-2012",3.17350104889511,38
"137","b_1018",8,"1.11","2012-2013",2.18136470914997,28
